Piston Cap Ball End,Activation Pin Cap,Activation Pin,Sleeve Body,Piston,Screen,Retainer,Retainer Clip,Extended Ball to Ball Distance,Compressed Ball to Ball Distance,Locked Ball to Ball Distance,Pallet Stop Shelf Gap,Retainer Clearance Distance,Extended Wedge Annulus Clearance,Ball End Type
00-050649,00-601661,00-601659,00-050610,00-050018A,00-047064,00-049271,00-049278,52.120000000000005,45.21,49.97614000000001,4.195,4.000499999999994,0.466800000000001,Female
00-050649,00-601661,00-601659,00-050017A,00-050018,00-047064,00-049271,00-049278,52.220000000000006,43.605000000000004,51.19337000000001,2.014999999999999,1.4894999999999987,0.6440000000000001,Female
00-050589,00-601661,00-601659,00-050017A,00-050018,00-047064,00-049271,00-049278,52.220000000000006,43.78,51.19337000000001,2.1899999999999977,1.6644999999999959,0.6440000000000001,Female
00-049133,00-601661,00-601659,00-050017A,00-050018,00-047064,00-049271,00-049278,52.220000000000006,44.03,51.19337000000001,2.4399999999999977,1.9144999999999959,0.6440000000000001,Female
00-050649,00-601661,00-601659,00-050651,00-050018A,00-047064,00-049271,00-049278,52.620000000000005,45.21,51.014990000000004,3.6950000000000003,3.3004999999999987,0.6056000000000008,Female
00-049133,00-601661,00-601659,00-050651,00-050018A,00-047064,00-049271,00-049278,52.620000000000005,45.635,51.014990000000004,4.120000000000001,3.725500000000003,0.6056000000000008,Female
00-050589,00-601661,00-601659,00-050651,00-050018A,00-047064,00-049271,00-049278,52.620000000000005,45.385,51.014990000000004,3.870000000000001,3.475500000000003,0.6056000000000008,Female
00-048395,00-601661,00-601659,00-050651,00-050018A,00-047064,00-049271,00-049278,52.620000000000005,42.625,51.014990000000004,1.1099999999999994,0.7154999999999978,0.6056000000000008,Female
00-050361,00-601661,00-048389,00-050651,00-050018A,00-047064,00-049271,00-049278,52.620000000000005,42.615,51.014990000000004,1.1000000000000014,0.7054999999999998,0.6056000000000008,Male
00-050649,00-601661,00-601659,00-050610,00-050652,00-047064,00-049271,00-049278,53.00000000000001,46.09,50.651140000000005,4.399999999999999,5.080499999999993,0.2618000000000009,Female
00-050612,00-601661,00-048389,00-050610,00-050652,00-047064,00-049271,00-049278,53.00000000000001,41.205000000000005,50.651140000000005,-0.4850000000000012,0.19549999999999468,0.2618000000000009,Male
00-050649,00-601661,00-601659,00-050610,00-049720,00-047064,00-049271,00-049278,53.00000000000001,46.09,50.651140000000005,4.399999999999999,4.325499999999997,0.2618000000000009,Female
00-050653,00-601661,00-048389,00-050610,00-050652,00-047064,00-049271,00-049278,53.00000000000001,40.800000000000004,50.651140000000005,-0.8900000000000006,-0.20950000000000646,0.2618000000000009,Male
00-050589,00-601661,00-601659,00-050610,00-050652,00-047064,00-049271,00-049278,53.00000000000001,46.265,50.651140000000005,4.574999999999999,5.255499999999997,0.2618000000000009,Female
00-050589,00-601661,00-601659,00-050610,00-049720,00-047064,00-049271,00-049278,53.00000000000001,46.265,50.651140000000005,4.574999999999999,4.500499999999994,0.2618000000000009,Female
00-050133,00-601661,00-048389,00-050610,00-050652,00-047064,00-049271,00-049278,53.00000000000001,41.705000000000005,50.651140000000005,0.014999999999998792,0.6954999999999947,0.2618000000000009,Male
00-050579,00-601661,00-048389,00-050610,00-050652,00-047064,00-049271,00-049278,53.00000000000001,40.705000000000005,50.651140000000005,-0.9850000000000012,-0.3045000000000053,0.2618000000000009,Male
